basename,iss,pyannote,speechbrain,silero,rvad,maxaccuracy,medaccuracy,BEST_DIFFICULTY,MED_DIFFICULTY
radio-MUV-20220802T101431-60,1,1,1,0.990001832997284,0.0543400376597625,1,1,EASY,EASY
radio-MUV-20221112T031209-60,0.931584851781344,0.504675389243949,0.74206218195571,0.358189420723416,0.125730894751156,0.931584851781344,0.504675389243949,MEDIUM,HARD
radio-MUV-20221203T204427-60,1,0.0196634711487206,0.734474969571079,0.0188566098081023,0.000699626865671583,1,0.0196634711487206,EASY,HARD
radio-RMC-20210117T030205-60,0.953808430177341,0.953808430177341,0.953808430177341,0.94919790713336,0.948161834539207,0.953808430177341,0.953808430177341,MEDIUM,EASY
radio-RMC-20210619T191036-60,0.975315686779811,0.98538453042742,0.959117161798858,0.983617420756175,0.9815742001988,0.98538453042742,0.9815742001988,EASY,EASY
radio-RMC-20210706T001824-60,0.962954097696599,0.976998213989799,0.954613245935446,0.950654563532249,0.968348953250723,0.976998213989799,0.962954097696599,EASY,EASY
radio-RMC-20210817T212532-60,1,0.970891041851585,0.959806375276266,0.945571167791529,0.951265261007185,1,0.959806375276266,EASY,EASY
radio-RMC-20210920T094259-60,0.998291956977609,0.998291956977609,0.998291956977609,0.991679632009741,0.951633633227356,0.998291956977609,0.998291956977609,EASY,EASY
radio-RMC-20211101T190319-60,0.9783460827822,0.915352869057692,0.917286871233444,0.964808067551933,0.943568579371795,0.9783460827822,0.943568579371795,EASY,EASY
radio-RMC-20220527T114358-60,0.992121139614773,0.990394968467467,0.990394968467467,0.93486694809523,0.94718941737451,0.992121139614773,0.990394968467467,EASY,EASY
radio-RMC-20220708T144937-60,0.991296309216493,0.991296309216493,0.991296309216493,0.993616130607689,0.991976557594363,0.993616130607689,0.991296309216493,EASY,EASY
radio-RMC-20220727T161225-60,0.993889387557826,0.993889387557826,0.993889387557826,0.997531588759235,0.961333977767037,0.997531588759235,0.993889387557826,EASY,EASY
radio-RMC-20221001T154221-60,0.998392854121906,0.998392854121906,0.887246066087943,0.997343979969887,0.981560115714503,0.998392854121906,0.997343979969887,EASY,EASY
radio-RMC-20221026T064441-60,0.440004965962465,0.440004965962465,0.440004965962465,0.45405450143806,0.456206418506487,0.456206418506487,0.440004965962465,HARD,HARD
radio-RTL-20211209T084520-60,0.993012330184359,0.990637879276131,0.973931920938642,0.959125523651227,0.92915656111667,0.993012330184359,0.973931920938642,EASY,EASY
radio-RTL-20220504T022438-60,0.981734823516415,0.975824418626061,0.975824418626061,0.972141923367274,0.969803538877943,0.981734823516415,0.975824418626061,EASY,EASY
radio-RTL-20220702T133218-60,0.980785853201757,0.990938783044011,0.982370507242287,0.969098897932723,0.903172945328819,0.990938783044011,0.980785853201757,EASY,EASY
radio-RTL-20220725T193856-60,0.988472255103713,0.881828094553004,0.97403077370103,0.925625102438491,0.819362240716796,0.988472255103713,0.925625102438491,EASY,EASY
radio-RTL-20221222T170615-60,0.952085986983301,0.977279667079618,0.94418175386768,0.942907993229921,0.931356982080229,0.977279667079618,0.94418175386768,EASY,EASY
radio-SKY-20220123T010856-60,1,0.312188598756895,0.855859788245098,0.0418423289063673,0.0116811917815069,1,0.312188598756895,EASY,HARD
radio-SKY-20220820T172758-60,1,0.66481145123394,1,0.0951658862541867,0.00351602206262189,1,0.66481145123394,EASY,HARD
tv-ART-20210703T072411-60,0.941186015902493,0.950340767719019,0.856841501030621,0.752501667778519,0.707047941871157,0.950340767719019,0.856841501030621,MEDIUM,MEDIUM
tv-ART-20210711T093525-60,0.862938574938575,0.924207616707617,0.841375973863156,0.92790171990172,0.811990171990172,0.92790171990172,0.862938574938575,HARD,MEDIUM
tv-ART-20210818T174303-60,0.893150363593713,0.945680858550316,0.881597466572836,0.979650480882008,0.96846899679412,0.979650480882008,0.945680858550316,EASY,EASY
tv-ART-20211120T152238-60,0.90514516222873,0.927147373116381,0.893935547139852,0.947947171421368,0.913096600275391,0.947947171421368,0.913096600275391,MEDIUM,EASY
tv-ART-20220130T104726-60,0.850184822787562,0.993352268609118,0.949536137955166,0.945404798144524,0.708269913749366,0.993352268609118,0.945404798144524,EASY,EASY
tv-ART-20220317T094745-60,0.985119451608525,0.916106030270124,0.985883013726705,0.988546898330392,0.637318447129089,0.988546898330392,0.985119451608525,EASY,EASY
tv-ART-20220927T094118-60,0.92235790451493,0.956816180597217,0.8607783552787,0.926615447138737,0.905559963617363,0.956816180597217,0.92235790451493,MEDIUM,EASY
tv-ART-20221228T183717-60,0.834641076300687,0.944168077900084,0.874776526714988,0.907479537115438,0.876413585473704,0.944168077900084,0.876413585473704,MEDIUM,MEDIUM
tv-ART-20221231T223617-60,0.83287788373952,0.922637471418214,0.792147679334503,0.930771661740375,0.938523599724871,0.938523599724871,0.922637471418214,MEDIUM,EASY
tv-BFT-20210322T183616-60,0.987836857668917,0.987836857668917,0.987836857668917,0.992914132678681,0.991444884598932,0.992914132678681,0.987836857668917,EASY,EASY
tv-BFT-20210409T165932-60,0.994767833399527,0.994767833399527,0.994767833399527,0.994767833399527,0.983595517259242,0.994767833399527,0.994767833399527,EASY,EASY
